CHEIE,COD_SMIS,TITLU_PROIECT,NUME_BENEFICIAR,NUMAR_AUTORIZARE,DATA_DEPUNERE_CERERE,VALOARE_ELIGIBILA_CERUTA,DATA_AUTORIZATA,VALOARE_AUTORIZATA,DATA_ULTIMEI_PLATI,VALOARE_RAMBURSATA,MOTIV_INTIRZIERE,COD_BENEFICIAR,COD_PO,COD_AP,COD_DMI,COD_OPER,REGIUNEA_BENEFICIARULUI,JUDETUL_BENEFICIARULUI,LOCALITATEA_BENEFICIARULUI,REIMBURS_OP_LIST
35252\2,"35,252",Dezvoltarea infrastructurii informatice pentru functionarea SMIS la nivelul ADR Sud-Est,Agentia pentru Dezvoltare Regionala Sud-Est,2,11/30/2011 00:00:00,"7,821",12/22/2011 00:00:00,"7,821",12/28/2011 00:00:00,"6,257",,4,7,2,2.4,***,SUD-EST,BRAILA,MUNICIPIUL BRAILA,OP 76/28-DEC-11: 6256.58 lei
35282\3,"35,282",CRESTEREA ACCESIBILITATII SPRE ZONA ECONOMICA SI COMERCIALA A POLULUI DE CRESTERE IASI,Municipiul Iasi,3,10/31/2012 00:00:00,"15,742",12/10/2012 00:00:00,"15,742",12/21/2012 00:00:00,"15,428",CLARIFICARI,79,1,1,1.1,1,NORD-EST,IASI,MUNICIPIUL IASI,OP 10619/21-DEC-12: 12649.05 lei; OP 10620/21-DEC-12: 2778.54 lei
35343\1,"35,343",Parteneri pentru Politici Publice: Imbunatatirea Capacitatii de  Colaborare a ONG-urilor  cu Administratia Publica in contextul Strategiei Europa 2020,Fundatia TERRA Mileniul III  ,1,05/17/2013 00:00:00,"80,401",07/10/2013 00:00:00,"73,843",07/22/2013 00:00:00,"48,380",,"11,242",6,1,1.1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,OP 3488/22-JUL-13: 38780.85 lei; OP 3489/22-JUL-13: 9599.56 lei
35352\2,"35,352","Conservarea biodiversitatii în aria naturala protejata Dealul Istrita 
Judetul Buzau
",Asociatia Ecologica Universitara Galati,2,03/27/2012 00:00:00,"29,367",04/26/2012 00:00:00,"29,367",04/27/2012 00:00:00,"20,557",CLARIFICARI,"10,738",2,4,4.1,***,SUD-EST,GALATI,MUNICIPIUL GALATI,OP 1272/27-APR-12: 14683.32 lei; OP 1273/27-APR-12: 5873.33 lei
35352\7,"35,352","Conservarea biodiversitatii în aria naturala protejata Dealul Istrita 
Judetul Buzau
",Asociatia Ecologica Universitara Galati,7,10/16/2012 00:00:00,"85,132",11/14/2012 00:00:00,"85,132",12/04/2012 00:00:00,"68,106",,"10,738",2,4,4.1,***,SUD-EST,GALATI,MUNICIPIUL GALATI,OP 3316/20-NOV-12: 17026.41 lei; OP 3466/04-DEC-12: 51079.24 lei
35352\13,"35,352","Conservarea biodiversitatii în aria naturala protejata Dealul Istrita 
Judetul Buzau
",Asociatia Ecologica Universitara Galati,13,05/17/2013 00:00:00,"27,671",06/27/2013 00:00:00,"27,671",07/12/2013 00:00:00,"22,137",,"10,738",2,4,4.1,***,SUD-EST,GALATI,MUNICIPIUL GALATI,OP 2554/01-JUL-13: 5534.18 lei; OP 2744/12-JUL-13: 16602.52 lei
26206\2,"26,206",PROMOVAREA PRODUSELOR TURISTICE ALE COMUNEI CRISTIAN,UAT Comuna Cristian,2,06/08/2012 00:00:00,,,,,,Respingere,"6,284",1,5,5.3,2,CENTRU,BRASOV,CRISTIAN,
18567\4,"18,567",Asistenta tehnica pentru sustinerea activitatii de verificare la fata locului a proiectelor finantate in cadrul Axei II-POS CCE prin achizitionarea de servicii de control,Autoritatea Nationala pentru Cercetare Stiintifica - DG Organism Intermediar pentru Cercetare,4,04/11/2012 00:00:00,,,,,,,26,3,5,1,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
20726\4,"20,726",Scoala Medicala Europeana ? Instruirea personalului medical pentru tehnologii inovatoare si proceduri moderne in dializa,IHS - MEDICAL SCHOOL S.R.L,4,05/31/2012 00:00:00,,,,,,,"7,302",4,3,3.2,***,BUCURESTI - ILFOV,ILFOV,ORAS OTOPENI,
35738\6,"35,738","Cresterea adaptabilitatii si competitivitatii angajatilor din industria romaneasca prin formare profesionala continua in domeniile TIC, transfer de noi tehnologii, protectia mediului si controlul poluarii.",SVASTA CONSULT S.R.L.,6,04/05/2013 00:00:00,,,,,,,"3,954",4,3,3.2,***,BUCURESTI - ILFOV,BUCURESTI,MUNICIPIUL BUCURESTI,
